name,taxid,ERR14789307,ERR14789308,ERR14789309,ERR14789310,ERR14789311,ERR14789312,ERR14789313,ERR14789314,ERR14789315,ERR14789316,ERR14789317,ERR14789318,ERR14789319,ERR14789320,ERR14789321
                  Mastadenovirus,10509,,,,,0.28,,,0.24,,,1.67,,0.39,,
                  Enterovirus,12059,,,,3.86,,,,,,,,,,,
                Sobemovirus,12137,,,0.4,,,,0.17,,,,,,,,
                  Tombusvirus,12141,,,,,,0.25,,,,,,,,,
                Potexvirus,12176,1.95,0.75,2.3,,0.18,6.48,4.23,9.57,4.8,2.03,1.42,1.65,6.07,2.1,3.8
                Tobamovirus,12234,62.74,57.45,47.2,,2.8,51.34,45.74,33.02,44.94,57.96,44.43,44.91,44.28,53.3,43.58
                Norovirus,142786,,,,,,,,,,,,,0.14,,
                Alphanodavirus,143920,,0.39,,,,0.39,0.2,,,,,,,,
                Cripavirus,144051,,,,,,,0.13,,,,,,,,
                Phaeovirus,181085,,,,,,,,,,0.17,3.09,,,,
              Punavirus,186789,,,,,,0.72,0.17,,,,,,0.16,,
              Lederbergvirus,186794,,,,,,,,,,,,,0.27,,
                Mamastrovirus,249588,0.37,1.13,1.98,,,,0.23,1.09,,0.82,1.17,2.55,0.97,0.61,2.12
              Uetakevirus,542960,0.37,0.42,0.84,,0.26,,0.2,0.97,,,,,0.35,,
                Kuravirus,680277,,,,,0.23,,,0.18,,,,,,,
                  Salivirus,688449,,,,,,,0.25,,,,,,,,
                Cyclovirus,742914,,,,,,0.62,0.18,,,0.33,0.42,,0.16,,
                  Felixounavirus,1198140,,,,,0.08,,,,,,,,,,
                  Alphanecrovirus,1299309,,,,,,,,,,,,,0.11,,
                  Protoparvovirus,1506574,,,,,,,0.5,,,,,,,,
                  Bocaparvovirus,1507401,,0.58,0.69,,0.16,,,,,0.26,0.17,,,,
                Gemycircularvirus,1542744,,,,,,1.25,,,0.91,,,,,,
              Cheoctovirus,1623281,,,,,0.43,,,,,,,,,,
                Chivirus,1623283,,,,,0.09,,,,,,,,,,
              Coetzeevirus,1623300,,,,,0.1,,,,,,,,,,
              Skunavirus,1623305,0.27,0.39,,,0.16,,0.11,0.19,,0.25,,,0.22,,
              Hollowayvirus,1720324,,,,,0.12,,,,,,,,,,
                  Alphatrevirus,1910951,,,,,,,,,,,0.17,,,,
                  Gequatrovirus,1910952,,,,,,,,,,,,,,0.57,
                  Jerseyvirus,1910991,,,,,,,,0.44,,,,,,,
                  Kagunavirus,1910992,1.11,1.32,1.35,,0.79,0.37,0.73,3.06,0.53,0.54,1.0,0.81,1.05,1.24,0.84
                  Cornellvirus,1910993,,,,,0.14,,0.12,,,,,,,,
                  Gammacarmovirus,1911601,0.76,2.37,0.34,,,1.22,0.65,0.78,0.48,0.69,3.62,2.08,0.27,0.95,
              Certrevirus,1914850,,,,,0.15,,,,,,,,0.1,,
              Obolenskvirus,1915205,,,,,0.16,,,,,,,,0.16,,
              Jilinvirus,1918725,,,,,0.14,,,,,,,,,,
                  Gamaleyavirus,1920753,0.27,,0.32,,0.49,0.21,0.48,0.42,1.05,0.37,0.58,,1.02,,
                  Litunavirus,1920762,,,,,0.08,,,,,,,,,,
                  Drulisvirus,1920774,0.96,,0.34,,0.86,,0.55,1.75,1.82,0.26,0.37,0.65,0.34,,0.61
                Webervirus,1920860,4.41,3.34,3.75,8.42,6.23,4.04,3.13,7.81,6.42,3.46,2.93,3.99,3.86,5.1,5.36
                Gemykibivirus,1941236,,0.47,0.34,,,5.31,0.44,,0.67,0.26,,,,,
              Mudcatvirus,1982088,,,,,0.14,,,,,,,,0.1,,
              Gordonvirus,1982152,,,,,0.19,,,,,,,,,,
              Nipunavirus,1982239,,,,,0.08,,,,,,,,,,
              Pepyhexavirus,1982367,,,,,0.11,,,,,,,,,,
              Roufvirus,1982370,,,,,0.15,,0.12,,,,0.11,,0.2,,
                  Johnsonvirus,1982576,,,,,0.25,,0.11,,,,,,,0.42,
                Gemyduguivirus,1985365,,,,,,0.39,,,,,,,,,
                Gemygorvirus,1985366,,,,,,0.42,,,,,,,,,
                Gemykrogvirus,1985367,,,,,,,,,,,,,,,1.23
                  Przondovirus,1985720,,,,,0.23,,0.16,0.6,1.06,,0.2,0.25,0.22,,
                  Pradovirus,1985733,,,,,0.12,0.21,0.11,,,,,,,,
          Pandoravirus,2060084,,,,,0.16,,,0.44,,,,,0.21,,
                Husavirus,2219049,,,,,,,0.1,,,0.19,0.22,,,,
              Bingvirus,2560103,,,,,0.12,,,,,,,,,,
                  Ceetrepovirus,2560111,,,,,0.12,,,,,,,,,,
              Fipvunavirus,2560132,,,,,0.08,,,,,,,,,,
              Rimavirus,2560214,,,,,0.11,,,,,,,,,,
                Sanovirus,2560222,,,,,0.1,,0.1,,,,,,,,
              Phapecoctavirus,2733124,,,,,0.2,,0.17,0.21,,,0.26,,0.14,,
              Feofaniavirus,2733174,,,,,0.09,,,,,,,,,,
                  Blattambidensovirus,2733224,0.25,,,,,0.48,0.14,,,,,,,,
                  Pefuambidensovirus,2733227,,,,,,,0.14,,,,,,,,
                  Protoambidensovirus,2733228,,,,,,,0.24,0.18,,,,,,1.45,
                  Fadolivirus,2763561,,,,,0.08,,,,,,,,,,
                Adahmuvirus,2842361,0.66,,,,,,,0.2,,,,0.23,,,
                Alehxovirus,2842364,,,,,,,0.12,,,,,,,,
              Akonivirus,2842540,0.32,,,,0.35,,0.14,,,,0.16,,0.1,,
                  Dongdastvirus,2842653,,,,,0.13,,,,,,,,,,
                Gihfavirus,2842702,,,,,,0.58,,0.6,1.82,,0.12,,,,
              Henunavirus,2842727,,,,,0.08,,,,,,,,,,
                  Henuseptimavirus,2842728,0.32,,,,0.31,,0.35,,,0.59,0.64,,0.17,,0.73
                Icepovirus,2842751,,,,,0.08,,,,,,,,,,
                Icumivirus,2842754,,,,,,,0.15,,,0.19,,,0.31,0.42,
                  Inbricusvirus,2842758,,,,,0.31,,0.14,,,,0.15,0.23,0.17,,
                Ishugivirus,2842767,,,,,,,0.18,0.58,0.91,0.17,0.11,,0.11,,
                  Kaypoctavirus,2842786,,,,,0.62,0.23,0.36,,,0.29,0.26,,0.57,,
                Kemicevirus,2842792,0.3,1.08,1.26,,,0.89,1.42,0.84,0.77,1.01,1.05,1.44,0.72,0.5,1.68
              Kenoshavirus,2842796,,,,,0.16,,,,,,,,0.19,,
                Kinglevirus,2842802,,,1.01,,,2.03,0.84,1.64,8.78,0.68,0.97,2.37,0.6,1.45,2.4
                Kohmavirus,2842807,,,,,,,0.54,,,,,,,,
                Kowinovirus,2842810,,,,,,,,,0.58,,,,,,
                Limaivirus,2842826,,,,,,,,,,,0.23,,,,
              Mydovirus,2842888,0.82,0.36,0.44,,0.29,,0.36,0.83,1.78,0.26,0.32,0.43,0.28,0.89,
                Pokkenvirus,2842972,,,,,0.11,,,,,,,,,,
                  Pourcelvirus,2842976,,,,,0.12,,,,,,,,,,
                  Pylasvirus,2842993,,,,,0.28,,0.13,,,,,,0.1,,
              Tanisvirus,2843069,,,,,0.11,,,,,,,,0.33,,
              Tinytimothyvirus,2843096,0.49,,,,0.12,,,,,,,0.27,,,
                  Yonginvirus,2843155,,,,,0.18,,,,,,,,0.15,,
                Zurivirus,2843162,,,,,0.12,,,,,,,,,,
              Astrithrvirus,2843350,,,,,0.21,,0.15,0.46,,,,,0.22,,
              Burrovirus,2843362,0.94,0.77,0.83,,1.72,0.62,0.77,0.67,1.15,0.71,0.68,1.6,0.87,2.13,1.28
                Labanvirus,2843408,,,,,0.08,,,,,,,,,,
              Lillamyvirus,2843418,,,,5.26,,,,,,,,,,,
              Muminvirus,2843426,,,,8.42,,,0.38,,,,,,,,
                Yonseivirus,2843478,1.97,0.75,0.6,,1.21,0.48,0.52,0.64,1.2,0.49,0.31,0.86,0.72,1.18,0.61
                  Kahnovirus,2942979,1.4,1.46,1.7,,1.79,0.91,1.19,1.08,0.67,0.85,0.85,0.86,1.38,1.3,
                  Kehishuvirus,2942980,1.01,1.34,1.58,5.61,0.87,0.57,1.03,0.76,,0.61,0.72,0.34,0.96,0.91,0.95
                  Paundivirus,2942981,,,,,0.17,,0.16,,,,,,,,
                  Afonbuvirus,2942989,0.84,1.6,2.01,5.96,4.72,1.5,1.94,2.21,0.86,1.51,1.92,2.3,1.51,1.98,2.85
                  Canhaevirus,2942990,,0.36,0.37,,0.69,0.31,0.47,0.27,,0.26,0.36,0.52,0.42,,0.78
                  Cohcovirus,2942991,0.61,0.86,0.92,,0.91,0.41,0.71,0.38,,0.57,0.62,0.43,0.76,0.8,1.17
                  Culoivirus,2942992,0.28,,0.34,,0.4,,0.15,,,,0.16,0.32,0.17,,
                  Blohavirus,2942993,,0.36,0.36,,0.71,,0.28,0.32,,0.27,0.35,0.33,0.4,0.57,
                  Buchavirus,2942994,0.64,1.13,1.03,4.21,1.0,0.54,0.74,0.51,,0.45,0.65,0.65,0.88,0.53,0.84
                Gwanakrovirus,2943008,,,,,0.11,0.25,,,,,,0.27,,,
                Salvovirus,2943016,1.9,0.8,0.95,,1.26,0.91,1.04,0.86,1.29,1.09,1.19,2.64,1.19,2.51,2.12
                Sessunavirus,2943018,,,,,0.15,,,,,,,,,,
                Sharonstreetvirus,2943019,,,,,0.25,,0.14,,,,0.12,0.34,0.18,,
                  Aurodevirus,2946811,1.3,2.41,2.51,7.02,5.13,0.7,2.11,2.25,1.82,1.94,2.5,2.05,2.54,2.1,3.07
                  Birpovirus,2946830,0.33,,0.29,,0.68,0.3,0.21,0.27,,0.24,0.27,0.23,0.41,,
                  Bohxovirus,2946832,,,,,0.09,,0.1,,,,,,,,
                Bracchivirus,2946835,,,,,,,,,,,0.14,,,,
                  Buorbuivirus,2948644,,0.37,0.72,,0.83,0.37,0.59,0.51,,0.43,0.69,0.57,0.41,,
                  Burzaovirus,2948645,5.22,7.86,12.82,28.42,31.97,7.58,13.02,11.27,9.93,11.6,12.24,14.15,12.01,10.17,11.12
                  Cacepaovirus,2948646,,,,,0.18,,,,,,,,,,
                  Carjivirus,2948652,1.63,2.79,4.2,12.98,12.4,3.13,3.24,4.45,2.49,2.97,3.28,3.59,3.45,3.66,5.75
                  Chuhaivirus,2948663,,,,,0.18,,0.1,,,,,,,,
                  Dabirmavirus,2948671,,,,,0.28,,,0.18,,0.23,0.12,,0.11,,
              Deseoctovirus,2948678,,,,,,,,,,,0.18,,0.13,,
                  Diorhovirus,2948680,0.25,0.47,0.66,,0.76,0.25,0.24,0.31,,0.4,0.36,0.27,0.24,,0.56
                  Drivevirus,2948684,,,,,0.13,,,,,,,,0.3,,
                  Delmidovirus,2948688,,,0.32,,1.43,0.25,0.48,0.31,,0.35,0.4,0.56,0.48,,0.67
                Efbeekayvirus,2948690,1.55,1.43,1.47,5.96,1.89,0.71,1.73,2.19,1.25,0.8,0.87,0.61,1.11,1.14,1.4
                  Endlipuvirus,2948697,,0.55,0.43,,0.81,0.42,0.29,0.44,,0.68,0.45,0.25,0.16,,
                Exceevirus,2948704,,,,,0.11,,,,,,,,0.1,,
                  Faithunavirus,2948705,,,,,,,,,,,0.19,,,,
                  Fohxhuevirus,2948709,0.42,0.97,0.98,,1.23,0.33,0.61,1.09,0.58,0.68,0.75,1.02,0.62,0.72,0.95
                  Jahgtovirus,2948767,0.71,1.3,1.47,3.86,1.33,0.69,0.88,1.06,0.86,0.89,1.06,1.08,1.03,0.76,1.68
                  Junduvirus,2948774,,,,,0.64,0.23,0.25,0.22,,,0.24,0.29,0.2,,
                  Kingevirus,2948785,0.42,0.41,0.49,,1.0,0.39,0.42,0.4,,0.24,0.52,0.34,0.53,0.53,0.73
                  Kolpuevirus,2948787,,0.43,,,0.37,0.24,0.22,0.19,,,0.27,,0.33,,
                  Lahndsivirus,2948793,,,,,,,0.11,,,,,,,,
                  Lebriduvirus,2948797,,,,,0.13,,0.11,,,,0.11,,0.2,,
                  Mahlunavirus,2948812,,,,,0.13,,,,,,,,0.1,,
                  Mahstovirus,2948813,,,,,0.12,,,,,,,,,,
                  Pamirivirus,2948854,,,,,0.14,,0.13,,,,0.14,,,,
              Skatevirus,2948910,1.12,1.21,,,0.37,,0.44,,,0.48,0.56,1.09,0.4,,
                Triduovirus,2948933,0.39,,,,0.63,,0.16,,,0.3,0.28,,0.21,,
                Valinorvirus,2948943,,0.33,,,,,,,,0.19,0.21,0.25,0.13,,0.56
              Veracruzvirus,2948946,,,,,,,0.12,,,,,,,,
              Axeltriavirus,3044667,,,,,0.08,,,,,,,,0.17,,
              Carvajevirus,3044683,,,,,0.25,,,,,,,,,,
                  Citricivirus,3044688,,,,,,,,,0.58,,,,,,
              Cobrasixvirus,3044690,0.41,,0.38,,0.43,0.29,0.22,0.59,,,0.29,0.33,0.31,,
                  Moovirus,3044769,,,,,0.15,,0.14,,,,,,0.1,,
              Purivirus,3044798,0.32,,,,,,,,,,,,,,0.56
              Quivirus,3044799,,,,,0.08,,,,,,,,,,
              Readingvirus,3152626,,,,,0.08,,,0.27,,,,,,,
              Miecznikowavirus,3152971,,,,,,,,0.22,,,,,,,
                  Longwangvirus,3153014,,,,,0.12,,,,,,,,,,
              Aspduovirus,3153070,,,,,,0.19,,,,,,,,,
                  Peekayseptimavirus,3153273,,,,,,,,,,,0.12,,,,
